,atmospheric_pressure,dhi,dni,ghi,relative_humidity,temp_air,temp_dew,uCooCoiStg1,uCooCoiStg2,uCooCoiStg3,uCooCoiStg4,uCooCoiStg5,uEco1,uEco2,uEco3,uEco4,uEco5,uFan1,uFan2,uFan3,uFan4,uFan5,uHeaCoiStg1,uHeaCoiStg2,uHeaCoiStg3,uHeaCoiStg4,uHeaCoiStg5,yPow,yRooTem1,yRooTem2,yRooTem3,yRooTem4,yRooTem5,ySumEnergy
2021-01-02 00:00:00,99000.0,0.0,0.0,0.0,72.0,-1.7,-6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3188.775510204082,15.821187415553709,16.30326477362462,15.864721559999793,15.748018665508027,16.24084468051126,275510204.08163065
2021-01-02 00:05:00,99000.0,0.0,0.0,0.0,73.08333333333333,-1.8833333333333333,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02 00:10:00,99000.0,0.0,0.0,0.0,74.16666666666667,-2.0666666666666664,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02 00:15:00,99000.0,0.0,0.0,0.0,75.25,-2.25,-6.1,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.500693974040587,16.98186212176165,16.45525033780342,16.289141023296168,16.788455120192907,275510205.1501801
2021-01-02 00:20:00,99000.0,0.0,0.0,0.0,76.33333333333333,-2.4333333333333336,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02 00:25:00,99000.0,0.0,0.0,0.0,77.41666666666667,-2.6166666666666667,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02 00:30:00,99000.0,0.0,0.0,0.0,78.5,-2.8,-6.1,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.753368363230265,17.25794875262619,16.7108115458812,16.536189261358686,17.053349185245224,275510205.1501801
2021-01-02 00:35:00,99000.0,0.0,0.0,0.0,79.58333333333333,-2.9833333333333334,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02 00:40:00,99000.0,0.0,0.0,0.0,80.66666666666667,-3.166666666666667,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02 00:45:00,99000.0,0.0,0.0,0.0,81.75,-3.35,-6.1,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.83003459139826,17.356829940040086,16.80795923471277,16.636581413447516,17.170772117894444,275510205.1501801
2021-01-02 00:50:00,99000.0,0.0,0.0,0.0,82.83333333333333,-3.533333333333333,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
