,atmospheric_pressure,dhi,dni,ghi,relative_humidity,temp_air,temp_dew,uCooCoiStg1,uCooCoiStg2,uCooCoiStg3,uCooCoiStg4,uCooCoiStg5,uEco1,uEco2,uEco3,uEco4,uEco5,uFan1,uFan2,uFan3,uFan4,uFan5,uHeaCoiStg1,uHeaCoiStg2,uHeaCoiStg3,uHeaCoiStg4,uHeaCoiStg5,yPow,yRooTem1,yRooTem2,yRooTem3,yRooTem4,yRooTem5,ySumEnergy
2021-01-01 00:00:00,99500.0,0.0,0.0,0.0,73.0,-12.2,-16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3188.775510204082,18.0,18.0,18.0,18.0,18.0,0.0
2021-01-01 00:05:00,99500.0,0.0,0.0,0.0,73.0,-12.2,-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 00:10:00,99500.0,0.0,0.0,0.0,73.0,-12.2,-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 00:15:00,99500.0,0.0,0.0,0.0,73.0,-12.2,-16.1,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.885624924059016,16.991057002906018,17.033790854627057,17.088020357315486,17.164094628765213,1.0675936542529527
2021-01-01 00:20:00,99500.0,0.0,0.0,0.0,73.0,-12.2,-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 00:25:00,99500.0,0.0,0.0,0.0,73.0,-12.2,-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 00:30:00,99500.0,0.0,0.0,0.0,73.0,-12.2,-16.1,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.234958680443583,16.3628596692148,16.40364924886171,16.46743891385529,16.57282182571771,1.0675936542529527
2021-01-01 00:35:00,99500.0,0.0,0.0,0.0,73.0,-12.2,-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 00:40:00,99500.0,0.0,0.0,0.0,73.0,-12.2,-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 00:45:00,99500.0,0.0,0.0,0.0,73.0,-12.2,-16.1,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.815708162168391,15.944008258386134,15.97151764304914,16.031056624976372,16.145326998226665,1.0675936542529527
2021-01-01 00:50:00,99500.0,0.0,0.0,0.0,73.0,-12.2,-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 00:55:00,99500.0,0.0,0.0,0.0,73.0,-12.2,-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 01:00:00,99500.0,0.0,0.0,0.0,73.0,-12.2,-16.1,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.521884246927414,15.64314940212688,15.654522062115689,15.704974415950858,15.821376149396201,1.0675936542529527
2021-01-01 01:05:00,99508.33333333333,0.0,0.0,0.0,73.0,-12.158333333333333,-16.058333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 01:10:00,99516.66666666667,0.0,0.0,0.0,73.0,-12.116666666666665,-16.01666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 01:15:00,99525.0,0.0,0.0,0.0,73.0,-12.075,-15.975000000000001,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.299042843609755,15.413152081325336,15.410860177713744,15.451193029729438,15.566045223656033,1.0675936542529527
2021-01-01 01:20:00,99533.33333333333,0.0,0.0,0.0,73.0,-12.033333333333333,-15.933333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 01:25:00,99541.66666666667,0.0,0.0,0.0,73.0,-11.991666666666665,-15.891666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 01:30:00,99550.0,0.0,0.0,0.0,73.0,-11.95,-15.850000000000001,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,11641.929499072357,15.333477190742201,15.415249486073606,15.407648702893937,15.431831911415657,15.357225435638213,10477691.073125433
2021-01-01 01:35:00,99558.33333333333,0.0,0.0,0.0,73.0,-11.908333333333333,-15.808333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 01:40:00,99566.66666666667,0.0,0.0,0.0,73.0,-11.866666666666665,-15.766666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
